76.0,10.0,221.0,0.0,1040.0,104.0,39.0,0.0
93.0,5.0,390.0,0.0,0.0,0.0,91.0,0.0
94.0,5.0,58.5,0.0,1989.0,143.0,162.5,0.0
95.0,4.0,273.0,0.0,390.0,0.0,143.0,0.0
22.0,76.0,210.0,120.0,375.0,0.0,0.0,105.0
23.0,76.0,0.0,270.0,1500.0,0.0,0.0,0.0
75.0,16.0,165.0,0.0,975.0,75.0,105.0,0.0
47.0,52.0,0.0,0.0,1500.0,217.5,120.0,0.0
95.0,3.0,180.0,0.0,0.0,0.0,52.5,45.0
9.0,90.0,0.0,480.0,300.0,0.0,0.0,0.0
93.0,5.0,255.0,0.0,0.0,0.0,97.5,0.0
82.0,15.0,150.0,0.0,450.0,45.0,0.0,180.0
20.0,75.0,0.0,345.0,900.0,90.0,67.5,0.0
88.0,11.0,270.0,0.0,450.0,0.0,52.5,0.0
82.0,13.0,205.0,0.0,1350.0,0.0,60.0,0.0
21.0,63.0,0.0,0.0,1400.0,0.0,0.0,0.0
9.0,90.0,0.0,640.0,300.0,45.0,0.0,0.0
96.0,1.0,285.0,0.0,0.0,0.0,80.0,45.0
87.0,9.0,220.0,0.0,250.0,0.0,35.0,115.0
93.0,4.0,190.0,0.0,0.0,90.0,80.0,30.0
84.0,13.0,95.0,0.0,1250.0,260.0,45.0,0.0
6.0,77.0,0.0,175.0,800.0,130.0,115.0,0.0
82.0,11.0,145.0,0.0,1500.0,80.0,70.0,0.0
6.0,91.0,0.0,640.0,0.0,45.0,60.0,0.0
93.0,5.0,273.0,0.0,0.0,0.0,45.5,0.0
97.0,2.0,133.90000000000001,0.0,1924.0,104.0,0.0,0.0
5.0,92.0,0.0,702.0,390.0,0.0,0.0,0.0
19.0,73.0,0.0,91.0,1040.0,58.5,0.0,0.0
94.0,1.0,117.0,0.0,1625.0,234.0,0.0,52.0
75.0,16.0,156.0,0.0,650.0,117.0,78.0,0.0
97.0,0.0,0.0,312.0,1170.0,0.0,0.0,0.0
