4,7,5.7,4.9,373.1,384.20000000000005,210.3,330.4,6,13,16,278697,41886,47802,1138,7118,217,46,17977,263863,12664,2169,20,1
14,4,0.0,0.7,0.0,414.4,98.0,264.5,4,12,21,48419,12942,36931,0,10832,36,1,15200,7474,39822,1122,25,2
12,4,4.9,8.0,380.5,615.7,213.39999999999998,409.6,16,7,11,374742,52577,59963,0,3602,345,14,22984,284501,87493,2747,6,0
11,4,1.1,1.5,232.5,531.0,172.8,353.8,6,15,18,205243,35431,54597,0,5237,101,67,17078,28401,163835,13006,20,0
4,12,3.4,2.5,347.3,448.5,195.8,302.6,13,17,14,133260,28745,63728,487,1821,148,1,17530,69932,62237,1091,3,0
14,4,5.6,5.0,469.7,350.79999999999995,285.3,308.8,9,7,12,259000,58365,39788,0,10946,245,15,19457,47148,209633,2218,14,1
12,4,5.6,7.800000000000001,450.8,449.2,288.1,362.20000000000005,5,14,13,323545,31389,44732,1025,3374,307,27,19365,214603,108797,144,15,0
4,3,0.7,0.0,259.5,370.9,184.6,295.29999999999995,5,4,25,70095,20722,33604,0,8938,42,2,16590,13968,56127,0,22,0
11,4,0.2,2.4,377.40000000000003,648.0,365.9,519.7,28,13,12,222209,57526,56932,1586,9875,59,73,22139,185521,21774,14913,9,1
4,7,5.9,7.800000000000001,379.3,494.20000000000005,239.8,442.6,17,8,15,284016,62053,41251,854,10104,277,9,22082,211039,42695,30282,17,0
4,14,4.5,6.3,420.2,396.6,220.1,279.9,7,15,14,200184,41031,51766,394,2940,199,2,16103,154361,43528,2293,16,1
11,4,0.2,1.0,337.5,377.79999999999995,226.2,271.6,2,9,19,194807,31606,57582,0,8844,82,77,15134,22977,153902,17926,19,3
4,7,5.4,8.0,293.2,389.0,225.4,355.2,7,10,12,301497,38684,33387,844,4652,335,14,18683,230490,69830,1176,13,0
4,14,3.2,5.2,383.2,446.1,224.8,343.70000000000005,13,7,9,282325,47272,40072,725,4879,276,0,18095,269527,9518,3280,5,2
4,3,0.1,1.5,281.4,316.4,147.6,264.2,9,9,16,151255,23273,35265,0,3984,125,0,16972,38086,111080,2088,14,2
12,4,6.1,9.9,391.2,754.8,234.10000000000002,566.3,19,10,13,403716,46445,42310,989,4461,342,41,24300,287630,115005,1080,18,1
4,14,7.4,6.5,501.8,500.8,325.3,449.5,7,11,17,485791,50220,44333,1804,9188,351,14,23258,410119,54213,21460,16,0
3,4,0.9,0.9,277.20000000000005,347.29999999999995,168.8,312.0,2,5,28,39345,15313,38012,0,4503,29,0,14874,13244,22582,3519,34,1
6,11,0.5,0.7,276.4,437.0,247.3,397.1,9,6,16,255354,34362,70591,0,12542,60,112,19125,149523,86809,19021,16,5
7,4,5.7,6.6000000000000005,258.0,413.70000000000005,247.9,414.8,13,7,10,257796,40510,27599,900,4248,206,29,19330,186848,69188,1760,18,1
4,12,5.0,6.7,384.1,484.3,196.5,377.9,11,11,9,178223,36408,54269,0,7124,205,14,16911,54447,122601,1176,11,3
4,11,0.2,2.1,299.9,481.0,296.3,430.2,11,10,9,195322,20759,50428,0,5939,74,99,17010,134167,41975,19180,31,0
14,4,6.800000000000001,3.9000000000000004,421.1,292.70000000000005,270.5,302.1,8,9,7,194833,25560,26116,0,2216,241,6,17167,181332,12212,1288,19,6
4,3,0.4,0.8999999999999999,275.4,242.7,171.1,293.20000000000005,2,14,14,41892,10833,28215,444,15940,23,4,12954,9074,32817,0,10,2
4,7,5.1,6.699999999999999,319.4,379.79999999999995,292.5,419.1,6,16,12,268962,39419,40138,756,3210,262,18,17559,209258,56508,3195,16,2
7,4,4.9,6.8,274.9,491.9,206.5,467.6,18,9,11,255939,43115,32407,818,5586,288,5,21306,214789,16930,24219,10,2
12,4,6.4,5.1,475.79999999999995,381.0,230.5,318.8,7,7,15,232398,27618,33317,0,7350,249,4,16945,22485,208505,1408,20,2
3,4,1.0,2.2,209.4,412.8,180.1,354.4,2,6,35,48178,15994,41711,0,3962,62,3,15871,18477,23844,5856,37,5
11,3,0.1,0.9,331.7,488.5,227.1,467.5,25,11,8,298103,57138,41135,889,14834,87,116,22660,153643,116301,28158,11,5
14,4,4.4,2.3,428.4,292.9,188.1,352.6,8,6,19,107019,24253,24452,0,5219,105,9,15206,24147,82787,84,10,1
11,4,0.2,1.1,228.3,381.1,186.2,344.79999999999995,15,17,12,124566,30619,55992,348,7415,47,37,17567,45071,72831,6664,15,0
12,4,4.3,6.2,442.8,583.2,262.4,509.40000000000003,23,13,16,283978,53573,80995,0,11556,270,0,23729,271256,11910,812,12,1
4,21,5.6,3.5999999999999996,420.1,377.7,259.6,420.3,13,15,22,214855,47169,47008,0,7143,189,18,19443,13413,201121,320,9,0
3,4,0.9,0.7999999999999999,209.5,244.7,142.10000000000002,260.2,0,13,24,33374,8724,45137,0,3817,24,2,13464,12416,19420,1537,19,3
14,4,4.0,4.9,263.4,398.5,184.5,341.5,7,18,7,320752,34692,45552,669,1635,282,26,19520,275612,40528,4611,15,0
4,11,0.2,1.6,319.4,363.9,343.6,325.3,12,20,28,137780,32166,47717,0,6501,87,26,17983,114494,16892,6392,8,1
4,14,5.7,3.1,465.79999999999995,392.6,293.1,313.2,20,9,20,281025,77898,34064,0,3862,185,12,21385,38032,239710,3281,8,0
7,4,5.3,2.9,282.8,242.3,257.3,347.6,22,9,16,300502,52548,38449,731,5744,269,3,22676,280664,16829,3008,14,1
3,4,0.1,0.8,303.1,366.9,148.5,325.9,8,9,39,113534,41142,30950,117,2262,63,0,18770,19367,94070,96,23,1
12,4,2.5,1.9,440.8,378.1,211.1,414.20000000000005,14,12,29,123614,33114,60017,570,8676,103,5,18173,115476,8138,0,7,0
14,4,4.9,7.300000000000001,397.29999999999995,520.7,236.6,386.1,10,9,22,255951,61245,36835,0,4800,255,1,18339,57973,195103,2875,15,1
4,12,6.6,5.9,437.1,499.8,233.0,445.7,13,6,15,215192,41316,40971,0,8005,219,18,18646,202719,12473,0,10,4
7,4,4.9,3.4000000000000004,274.3,382.6,195.9,321.7,8,13,20,215110,50088,35032,882,6427,169,7,17235,126018,86823,2268,8,4
4,14,0.7,1.6,276.9,346.0,142.1,335.2,11,5,22,171866,42053,22180,0,3239,109,4,19288,9389,160332,2144,32,7
11,4,0.1,0.6,308.2,501.0,227.3,519.3,18,14,22,245165,34012,74121,0,13091,60,112,20853,168679,53186,23300,43,4
12,4,5.300000000000001,5.2,401.5,383.0,196.70000000000002,284.6,2,11,18,297710,42858,64122,0,9362,287,19,19746,33164,264546,0,18,0
12,4,5.199999999999999,5.699999999999999,409.7,332.6,258.0,296.20000000000005,10,13,10,359698,28075,59879,1297,18535,290,6,21521,329381,16919,13396,20,3
7,4,5.699999999999999,5.199999999999999,310.9,532.5,216.0,479.3,17,12,10,356467,41037,39948,1424,4240,287,28,23353,325518,26056,4892,20,0
4,14,0.3,0.9,272.3,226.6,148.9,275.4,8,15,15,113012,45040,41795,0,2718,54,1,18401,8477,102435,2099,32,2
